IDENTIFIER	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj	GO	arabidopsis	rice
bradi0009s00220.2|pacid:21826779	-1.407133907	0.551688984	0.565468919	-2.488437226	0.012830589	0.040767894			
bradi0023s00210.2|pacid:21809739	-1.645256814	1.279378514	0.59147321	-2.781625247	0.005408746	0.020223114	"GO:0043531,GO:0006915,GO:0005524"	NB-ARC domain-containing disease resistance protein	"disease resistance protein RGA2, putative, expressed"
bradi1g00417.1|pacid:21818217	1.265322658	5.442837388	0.47589112	2.658849059	0.007840808	0.027479026			expressed protein
bradi1g00490.1|pacid:21823764	1.489695237	1.768116516	0.565517032	2.634218165	0.008433128	0.029125649		Nuclear transport factor 2 (NTF2) family protein	expressed protein
bradi1g00587.1|pacid:21821168	1.358697853	6.958970564	0.40514591	3.353601306	0.000797672	0.004135658	"GO:0004499,GO:0050660,GO:0050661,GO:0055114,GO:0016491"	Flavin-binding monooxygenase family protein	"flavin monooxygenase, putative, expressed"
bradi1g00690.1|pacid:21822360	-1.24374997	51.34820847	0.332480747	-3.74081802	0.000183422	0.001170511	GO:0016787	type one protein phosphatase 1	"Ser/Thr protein phosphatase family protein, putative, expressed"
bradi1g00910.1|pacid:21816912	1.565813549	28.86985899	0.328634495	4.764604974	1.89E-06	2.06E-05			expressed protein
bradi1g00920.1|pacid:21822111	-2.743226601	5.531895329	0.468233544	-5.858671673	4.67E-09	8.57E-08		Domain of unknown function (DUF303) 	"receptor protein kinase, putative, expressed"
bradi1g00950.1|pacid:21820029	1.804097827	24.70361297	0.467542742	3.858679995	0.000114001	0.00077458	"GO:0016491,GO:0016706,GO:0055114"	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	"gibberellin 20 oxidase 1, putative, expressed"
bradi1g00970.1|pacid:21820716	3.207279338	28.83777523	0.323535617	9.91321874	3.65E-23	3.67E-21		phloem protein 2-B10	"OsFBX438 - F-box domain containing protein, expressed"
bradi1g00980.2|pacid:21816900	2.461251824	1754.597535	0.240208782	10.24630243	1.23E-24	1.39E-22	"GO:0005488,GO:0044238"	"30S ribosomal protein, putative"	"plastid-specific 30S ribosomal protein 1, chloroplast precursor, putative, expressed"
bradi1g01220.1|pacid:21815467	1.652745693	5.646095974	0.447368572	3.694371476	0.000220431	0.00137165		Ribonuclease P protein subunit P38-related	expressed protein
bradi1g01270.1|pacid:21819763	1.581059354	6.356835183	0.555518307	2.846097662	0.004425862	0.017180441		hydroxyproline-rich glycoprotein family protein	
bradi1g01280.1|pacid:21817589	1.408436579	5.905468838	0.433425444	3.249547529	0.001155888	0.005688085		Tetratricopeptide repeat (TPR)-like superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g01470.1|pacid:21818196	-1.427590258	1.704502363	0.568445672	-2.511392609	0.012025587	0.038727531		Pentatricopeptide repeat (PPR) superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g01630.1|pacid:21818145	-1.897812149	28.0616335	0.462617928	-4.102331608	4.09E-05	0.000314058		Sec14p-like phosphatidylinositol transfer family protein	"CRAL/TRIO domain containing protein, expressed"
bradi1g01750.1|pacid:21815927	-1.65601481	139.9389335	0.283968494	-5.831685015	5.49E-09	9.95E-08		Nucleotide-diphospho-sugar transferase family protein	"regulatory protein, putative, expressed"
bradi1g01800.1|pacid:21817046	-1.130251698	2245.799815	0.225898969	-5.003350398	5.63E-07	6.84E-06	"GO:0008652,GO:0016597,GO:0008152"	aspartate kinase 1	"aspartokinase, chloroplast precursor, putative, expressed"
bradi1g01870.1|pacid:21822044	-1.298046588	114.4964637	0.381735209	-3.400384764	0.000672911	0.003562746		RmlC-like cupins superfamily protein	"pirin, putative, expressed"
bradi1g01890.1|pacid:21816984	-2.307917776	29.12774632	0.442235994	-5.218747018	1.80E-07	2.42E-06			expressed protein
bradi1g02230.1|pacid:21816416	1.403225433	3.713619552	0.521515827	2.690667013	0.007130933	0.025409238		Tetratricopeptide repeat (TPR)-like superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g02247.1|pacid:21821614	1.25604322	23.07904085	0.283338992	4.433005189	9.29E-06	8.56E-05	"GO:0005524,GO:0004222,GO:0006508,GO:0009378,GO:0006281,GO:0006310,GO:0016887"	FTSH protease 4	"OsFtsH5  FtsH protease, homologue of AtFtsH4, expressed"
bradi1g02270.1|pacid:21817706	1.967295557	1331.21958	0.214141383	9.186900411	4.04E-20	3.06E-18		DPP6 N-terminal domain-like protein	"WD40-like Beta Propeller Repeat family protein, expressed"
